Test_ID,Category,Design_Feature_Targeted,Test_Scenario_Stimulus,Scoreboard_Checkers,Coverage_Goals,Priority
TC_RAM_WR_11,Write Channel,Burst Type INCR (awburst=2'b01),Send multi-beat write with awburst=2'b01 (INCR).,"Scoreboard verifies sequential monotonic address advancement per beat.",CC: line 221 true branch; FC: cp_awburst[burst_incr],P0
TC_RAM_WR_12,Write Channel,Burst Type WRAP (awburst=2'b10),Send 4-beat write with awburst=2'b10 (WRAP) to address 0x100C.,"Scoreboard checks address progression against RTL implementation behavior (RTL increments by size).",CC: line 221 true branch; FC: cp_awburst[burst_wrap],P1
TC_RAM_WR_13,Write Channel,Unaligned Address Start (+1 Byte),Send write starting at unaligned address awaddr[1:0] = 2'b01 (e.g. 0x1001).,"Scoreboard verifies target word index is (addr >> 2) and byte lane offset matches addr[1:0].",CC: address shift logic; FC: cp_awaddr_align[unaligned_01],P1
TC_RAM_WR_14,Write Channel,Unaligned Address Start (+2 Bytes),Send write starting at unaligned address awaddr[1:0] = 2'b10 (e.g. 0x1002).,"Scoreboard verifies half-word offset within 32-bit word; upper byte lanes targeted.",CC: address shift logic; FC: cp_awaddr_align[unaligned_10],P1
TC_RAM_WR_15,Write Channel,Unaligned Address Start (+3 Bytes),Send write starting at unaligned address awaddr[1:0] = 2'b11 (e.g. 0x1003).,"Scoreboard verifies most significant byte lane targeted in initial word.",CC: address shift logic; FC: cp_awaddr_align[unaligned_11],P1
TC_RAM_WR_16,Write Channel,Low Memory Boundary (0x0000 - 0x0FFF),Write to base addresses 0x0000, 0x0004, 0x0FFC (first 4KB page).,"Scoreboard verifies RAM word 0 through word 1023 accessible without address decode corruption.",CC: memory array low indices; FC: cp_awaddr_range[low_mem],P0
TC_RAM_WR_17,Write Channel,Mid Memory Space (0x1000 - 0xEFFF),Random writes across general memory space 0x1000 to 0xEFFF.,"Scoreboard verifies broad RAM array indexing and data integrity.",CC: memory array mid indices; FC: cp_awaddr_range[mid_mem],P0
TC_RAM_WR_18,Write Channel,High Memory Boundary (0xF000 - 0xFFFF),Write to top addresses 0xFFF0, 0xFFFC (top of 64KB RAM).,"Scoreboard verifies no address rollover into 0x0000 occurs; top memory word successfully written.",CC: memory array max index ((2**VALID_ADDR_WIDTH)-1); FC: cp_awaddr_range[high_mem],P0
TC_RAM_STRB_01,Byte Strobes,Full Word Strobe (wstrb=4'b1111),Write 32-bit words with wstrb=4'b1111.,"Scoreboard verifies all 4 bytes of destination word updated.",CC: loop i=0..3 mem_wr_en & s_axi_wstrb[i]; FC: cp_wstrb[full_word],P0
TC_RAM_STRB_02,Byte Strobes,Single Byte Strobes (1 bit set),Sweep wstrb across 4'b0001, 4'b0010, 4'b0100, 4'b1000 on pre-populated memory.,"Scoreboard verifies ONLY targeted byte is modified; remaining 3 bytes in the 32-bit word remain strictly unchanged.",CC: individual strobe bit isolation; FC: cp_wstrb[single_bytes],P0
TC_RAM_STRB_03,Byte Strobes,Half-Word Strobes (2 bits set),Sweep wstrb across 4'b0011 (lower 16b), 4'b1100 (upper 16b), 4'b0110, 4'b1001, 4'b0101, 4'b1010.,"Scoreboard verifies exact 2 active byte lanes modified; non-active lanes retain previous values.",CC: all 2-bit strobe combinations; FC: cp_wstrb[two_bytes],P0
TC_RAM_STRB_04,Byte Strobes,Three-Byte Strobes (3 bits set),Sweep wstrb across 4'b0111, 4'b1110, 4'b1101, 4'b1011.,"Scoreboard verifies exactly 3 bytes modified; single masked byte unchanged.",CC: all 3-bit strobe combinations; FC: cp_wstrb[three_bytes],P1
TC_RAM_STRB_05,Byte Strobes,Dynamic Strobes in Multi-Beat Burst,Send 8-beat write burst where wstrb changes every beat (e.g. 4'b0001 -> 4'b0011 -> 4'b0111 -> 4'b1111 -> 4'b1100 -> 4'b1000).,"Scoreboard verifies per-beat byte mask tracking against expected memory image.",CC: strobe evaluation on consecutive beats; FC: cross_awlen_wstrb,P0
TC_RAM_BP_01,Backpressure & Flow,Master Write Data Stall (wvalid bubbles),Master deasserts wvalid for 1 to 5 cycles between write beats during multi-beat burst.,"Scoreboard verifies DUT holds s_axi_wready=1; does not advance write_count_reg or address during stall; latches data only when wvalid & wready both high.",CC: line 219 false branch (wvalid=0 while wready=1); FC: write data backpressure,P0
TC_RAM_BP_02,Backpressure & Flow,Master Response Stall (WRITE_STATE_RESP),Master holds bready=0 when write finishes (bvalid=1), holding bready low for 10 cycles.,"Scoreboard verifies DUT transitions to WRITE_STATE_RESP; holds bvalid=1 and bid constant; s_axi_awready remains 0 until bready asserted; upon bready=1, bvalid deasserts and awready returns to 1.",CC: line 229 false branch -> line 235/249 WRITE_STATE_RESP loop; FC: cp_b_backpressure,P0
TC_RAM_RD_01,Read Channel,Single-Beat Aligned Read (arlen=0),Read 1 beat from address 0x1000 with arsize=2 (4B) and arlen=0.,"Scoreboard verifies 1 beat returned; rvalid=1; rlast=1; rdata matches pre-written memory contents; rresp=2'b00; rid matches arid.",CC: read_count_reg==0; FC: cp_arlen[single_beat],P0
TC_RAM_RD_02,Read Channel,Short Burst Reads (arlen=1..15),Sweep arlen across 2 to 16 beats (arlen=1, 3, 7, 15) with INCR burst.,"Scoreboard verifies exactly len+1 beats returned; rlast asserts ONLY on the final beat (read_count_reg==0); sequential data words match memory.",CC: read_count_reg > 0; FC: cp_arlen[short_burst],P0
TC_RAM_RD_03,Read Channel,Medium Burst Reads (arlen=16..63),Sweep arlen across 17 to 64 beats (arlen=16, 31, 63) with INCR burst.,"Scoreboard verifies continuous read stream without pipeline drops; rlast asserted on beat 16/31/63.",CC: read counter bits [5:4]; FC: cp_arlen[med_burst],P1
TC_RAM_RD_04,Read Channel,Long Burst Reads (arlen=64..254),Sweep arlen across 65 to 255 beats (arlen=64, 127, 254).,"Scoreboard verifies read data stream integrity across entire burst; all beats match memory array.",CC: extended read counts; FC: cp_arlen[long_burst],P1
TC_RAM_RD_05,Read Channel,Maximum Burst Read (arlen=255),Send 256-beat read burst (arlen=8'hFF) starting at address 0x0000.,"Scoreboard verifies exact 256 beats received; counter does not hang or overflow; rlast asserted on 256th beat.",CC: 8'hFF read counter rollover; FC: cp_arlen[max_burst],P0
TC_RAM_RD_06,Read Channel,Narrow Read 1-Byte (arsize=0),Send 4-beat read with arsize=3'b000 (1 Byte) to address 0x1000.,"Scoreboard verifies address increments by +1 per beat (0x1000, 0x1001, 0x1002, 0x1003); returned data words verified against word address.",CC: read_addr_reg + (1<<read_size_reg); FC: cp_arsize[size_1B],P0
TC_RAM_RD_07,Read Channel,Narrow Read 2-Byte (arsize=1),Send 4-beat read with arsize=3'b001 (2 Bytes) to address 0x1000.,"Scoreboard verifies address increments by +2 per beat; returned data matched.",CC: read_size_reg=1; FC: cp_arsize[size_2B],P0
TC_RAM_RD_08,Read Channel,Full-Width Read 4-Byte (arsize=2),Send 4-beat read with arsize=3'b010 (4 Bytes) to address 0x1000.,"Scoreboard verifies address increments by +4 per beat; full 32-bit words returned.",CC: read_size_reg=2; FC: cp_arsize[size_4B],P0
TC_RAM_RD_09,Read Channel,Read Size Clamping (arsize >= 3),Send read burst with arsize=3'b011 (8 Bytes) or 3'b100 (16 Bytes).,"Scoreboard verifies RTL clamps read_size to $clog2(STRB_WIDTH)=2 (4 Bytes); address steps by 4.",CC: ternary condition line 309 (read clamping branch); FC: cp_arsize clamping,P1
TC_RAM_RD_10,Read Channel,Read Burst FIXED (arburst=2'b00),Send 4-beat read with arburst=2'b00 (FIXED) from address 0x2000.,"Scoreboard verifies all 4 read beats return data from the same fixed address 0x2000.",CC: line 324 false branch (read_burst_reg == 2'b00); FC: cp_arburst[burst_fixed],P0
TC_RAM_RD_11,Read Channel,Read Burst INCR (arburst=2'b01),Send multi-beat read with arburst=2'b01 (INCR).,"Scoreboard verifies sequential data words returned from consecutive memory words.",CC: line 324 true branch; FC: cp_arburst[burst_incr],P0
TC_RAM_RD_12,Read Channel,Read Burst WRAP (arburst=2'b10),Send 4-beat read with arburst=2'b10 (WRAP) from address 0x100C.,"Scoreboard checks address progression against RTL implementation behavior.",CC: line 324 true branch; FC: cp_arburst[burst_wrap],P1
TC_RAM_RD_13,Read Channel,Unaligned Read Address Offsets (+1, +2, +3),Send reads starting at addresses ending in 0x1, 0x2, 0x3.,"Scoreboard verifies word address calculation (araddr >> 2) retrieves correct word from memory.",CC: read address shift logic; FC: cp_araddr_align[all offsets],P1
TC_RAM_RD_14,Read Channel,Read Memory Boundaries (Low, Mid, High),Read from 0x0000, 0x0FFC, mid RAM, and top boundary 0xFFFC.,"Scoreboard verifies boundary words read accurately without corruption.",CC: memory read decode limits; FC: cp_araddr_range[low, mid, high],P0
TC_RAM_BP_03,Backpressure & Flow,Master Read Data Backpressure (rready stall),Master deasserts rready for 3 cycles during active read burst while rvalid=1.,"Scoreboard verifies DUT holds rvalid=1, rdata unchanged, rlast unchanged, and rid unchanged during stall; read address does not increment while stalled; resumes on rready=1.",CC: line 319 condition terms (rready=0 with rvalid=1); FC: cp_r_backpressure,P0
TC_RAM_ID_01,Transaction IDs,Write ID Tag Sweeps (awid),Sweep awid across 0x00 (zero), 0x01..0x0F (low), 0x10..0xEF (mid), 0xF0..0xFF (high).,"Scoreboard verifies bid matches awid exactly for every transaction.",CC: write_id_reg toggle; FC: cp_awid[all bins],P0
TC_RAM_ID_02,Transaction IDs,Read ID Tag Sweeps (arid),Sweep arid across 0x00 (zero), 0x01..0x0F (low), 0x10..0xEF (mid), 0xF0..0xFF (high).,"Scoreboard verifies rid matches arid on every beat across the burst.",CC: read_id_reg toggle; FC: cp_arid[all bins],P0
TC_RAM_CONC_01,Concurrency,Simultaneous Read & Write to Different Addresses,Issue AW+W to 0x1000 and AR to 0x2000 in the exact same cycle.,"Scoreboard verifies both channels operate simultaneously without deadlocking; both write response and read data returned correctly.",CC: simultaneous write_state_reg & read_state_reg activity; FC: simultaneous R/W cross,P0
TC_RAM_CONC_02,Concurrency,Interleaved Multi-Beat Read & Write,Interleave 8-beat write and 8-beat read with random valid/ready delays on all channels.,"Scoreboard tracks independent channel queues and verifies zero transaction cross-talk or corruption.",CC: all FSM concurrent states; FC: concurrent streaming,P0
TC_RAM_HAZ_01,Hazards & Data,Read-After-Write (RAW) Consecutive Cycles,Write word 0xAABBCCDD to address 0x3000; immediately on next cycle issue read to 0x3000.,"Scoreboard verifies read returns newly written data 0xAABBCCDD (no stale data).",CC: mem_wr_en followed by mem_rd_en on same word; FC: RAW hazard,P0
TC_RAM_HAZ_02,Hazards & Data,Write-After-Read (WAR) Consecutive Cycles,Read word from address 0x3000; immediately on next cycle write new data to 0x3000.,"Scoreboard verifies read returned original value, and subsequent reads return new value.",CC: mem_rd_en followed by mem_wr_en on same word; FC: WAR hazard,P0
TC_RAM_HAZ_03,Hazards & Data,Write-During-Read (WDR) Same Cycle Same Address,Drive write to 0x4000 and read from 0x4000 in the exact same cycle.,"Scoreboard checks dual-port RAM behavior (write commits to mem, read samples mem in same clock edge).",CC: mem_wr_en & mem_rd_en active simultaneously on write_addr_valid == read_addr_valid; FC: simultaneous same-address access,P1
TC_RAM_PIPE_01,Parameters,Pipeline Output Mode (PIPELINE_OUTPUT=0),Run regression suite with DUT parameter PIPELINE_OUTPUT=0.,"Scoreboard verifies unpipelined read latency (read data available on rvalid immediately); matches direct register assignments.",CC: lines 164, 165, 167, 168 (false branch for PIPELINE_OUTPUT); FC: unpipelined latency,P0
TC_RAM_PIPE_02,Parameters,Pipeline Output Mode (PIPELINE_OUTPUT=1),Run regression suite with DUT parameter PIPELINE_OUTPUT=1.,"Scoreboard verifies 1-cycle extra pipelined read latency; verifies pipeline stage registers (s_axi_rdata_pipe_reg, s_axi_rvalid_pipe_reg); verifies stall propagation when rready=0.",CC: lines 164-168 (true branch), line 291/319 (pipe condition), lines 359-364 (pipe register updates); FC: pipelined latency,P0
TC_RAM_STRESS_01,Random & Stress,Constrained-Random Multi-Channel Stress,Run 1000 randomized transactions with random addresses, burst lengths (0..255), sizes (0..2), burst types (FIXED/INCR/WRAP), strobes, and random 0..3 cycle delays on all handshakes.,"Associative memory scoreboard verifies zero data mismatches, zero protocol violations, and zero dropped beats across entire simulation.",FC: 100% all covergroups and 8 cross-coverages; CC: 100% lines/branches/conditions,P0
